title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
ROCKET POP - BETTER SALT BY VAPETASIA - 30ML,VAPETASIA,ROCKET POP - BETTER SALT BY VAPETASIA - 30ML,$10.99,"Discover Rocket Pop by Better Salt, featuring a blast of tangy blue raspberries, cherries, and lime in a nicotine salt blend to tantalize the taste buds with this popsicle recreation.
ROCKET POP - BETTER SALT BY VAPETASIA - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salt Formulation
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 25mg
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salt Formulation,USA,https://www.elementvape.com/rocket-pop-better-salt-vapetasia
FRENCH DUDE - BLUEBERRY BY BREAKFAST CLASSICS - 100ML,FIND BRAND,FRENCH DUDE - BLUEBERRY BY BREAKFAST CLASSICS - 100ML,$13.99,"Check out Blueberry by French Dude, captivating the tongue with delicious notes of vibrant blueberries, maple syrup coated French Toast, and a splash of cream.
FRENCH DUDE - BLUEBERRY BY BREAKFAST CLASSICS - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/blueberry-french-dude
FRENCH DUDE - APPLE FRITTER BY BREAKFAST CLASSICS - 100ML,FIND BRAND,FRENCH DUDE - APPLE FRITTER BY BREAKFAST CLASSICS - 100ML,$13.99,"Shop Apple Fritter by French Dude, captivating the taste buds with thick French toast slices coated in maple syrup, topped with apple compote and a dollop of cream. 
FRENCH DUDE - APPLE FRITTER BY BREAKFAST CLASSICS - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/apple-fritter-french-dude
PANCAKE MAN - STRAWBERRY BY BREAKFAST CLASSICS - 100ML,FIND BRAND,PANCAKE MAN - STRAWBERRY BY BREAKFAST CLASSICS - 100ML,$13.99,"Discover Strawberry by Pancake Man, enticing the taste buds with a stack of griddled and buttered pancakes topped with sliced strawberries and cream.
PANCAKE MAN - STRAWBERRY BY BREAKFAST CLASSICS - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/strawberry-pancake-man
PANCAKE MAN - DOUBLE BERRY BY BREAKFAST CLASSICS - 100ML,FIND BRAND,PANCAKE MAN - DOUBLE BERRY BY BREAKFAST CLASSICS - 100ML,$13.99,"Check out Double Berry by Pancake Man, capturing the flavors of a fresh stack of buttered pancakes enhanced with mixed berries and a fat dollop of cream.
PANCAKE MAN - DOUBLE BERRY BY BREAKFAST CLASSICS - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/double-berry-pancake-man
PANCAKE MAN - BOYSENBERRY BY BREAKFAST CLASSICS SALTS - 30ML,FIND BRAND,PANCAKE MAN - BOYSENBERRY BY BREAKFAST CLASSICS SALTS - 30ML,$10.99,"Explore Boysenberry by The Pancake Man, featuring a freshly griddled stack of pancakes topped with blackberries and raspberries, followed by a dollop of cream.
PANCAKE MAN - BOYSENBERRY BY BREAKFAST CLASSICS SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salt Formulation
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salt Formulation,USA,https://www.elementvape.com/boysenberry-pancake-man-salts
GLAZED DONUT - DONUT SLAM SALTS - 30ML,FIND BRAND,GLAZED DONUT - DONUT SLAM SALTS - 30ML,$10.99,"Experience the Glazed Donut by Donut Slam Salts, a 30mL e-liquid that captures the decadent flavor of a classic glazed donut fresh out of the oven. Each puff delivers the rich, buttery sweetness of the dough, perfectly complemented by a warm vanilla glaze that melts in your mouth. As you exhale, a subtle, sugary finish lingers, making every vape as satisfying as biting into a freshly baked treat. Formulated with nicotine salts for a smooth, potent hit, this e-liquid is available in 30mg or 50mg strengths, offering an indulgent dessert-like experience that's perfect for satisfying your sweet tooth. Crafted with care in the USA, Donut Slam brings the irresistible taste of a bakery favorite straight to your vape.
GLAZED DONUT - DONUT SLAM SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 Glazed Donut - Donut Slam Salts - 30mL
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/glazed-donut-donut-slam-salts-30ml
GLAZED DONUT - DONUT SLAM - 100ML,FIND BRAND,GLAZED DONUT - DONUT SLAM - 100ML,$13.99,"Indulge in the Glazed Donut by Donut Slam, a 100mL e-liquid that perfectly captures the sweet, sugary essence of a freshly baked donut. This delectable vape juice is formulated with a 70% VG and 30% PG blend, delivering a rich, dense vapor that enhances the full-bodied flavor of warm, glazed donuts. The e-liquid is crafted with freebase nicotine, ensuring a smooth and satisfying throat hit in every puff. Whether you prefer 3mg or 6mg nicotine strength, this American-made product is designed to satisfy your cravings with every delightful vape.
GLAZED DONUT - DONUT SLAM - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 Glazed Donut - Donut Slam - 100mL
AVAILABLE OPTIONS:
• 3mg
• 6mg
• 12mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/glazed-donut-slam-juice
LIT LEMON TART - POD MONSTER SALTS - 60ML,FIND BRAND,LIT LEMON TART - POD MONSTER SALTS - 60ML,$11.99,"Shop Lit Lemon Tart by Pod Monster SALTS, combining notes of freshly baked tart packed with fresh lemons, candied lemons, and lemon meringue flavor.
LIT LEMON TART - POD MONSTER SALTS - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 20mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",60mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/lit-lemon-tart-pod-monster-salts
STRAWBERRY GLAZED DONUT - POD JUICE SALTS X RAZ E-LIQUID - 30ML,POD JUICE,STRAWBERRY GLAZED DONUT - POD JUICE SALTS X RAZ E-LIQUID - 30ML,$10.99,"Discover Strawberry Glazed Donut by Pod Juice Salts x RAZ, featuring sweet strawberries, creamy icing glaze, and freshly baked donuts in nicotine salt form.
STRAWBERRY GLAZED DONUT - POD JUICE SALTS X RAZ E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salt
• MADE IN: USA
• Collaboration between RAZ E-Liquids and Pod Juice
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 20mg
• 35mg
• 55mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salt,USA,https://www.elementvape.com/strawberry-glazed-donut-pod-juice-raz-salts
STRAWBERRY GLAZED DONUT - POD JUICE X RAZ E-LIQUID - 100ML,POD JUICE,STRAWBERRY GLAZED DONUT - POD JUICE X RAZ E-LIQUID - 100ML,$13.99,"Check out Strawberry Glazed Donut by Pod Juice x RAZ, featuring a delicious baked confectionary vape, that mimics a warm strawberry jelly-filled donut.
STRAWBERRY GLAZED DONUT - POD JUICE X RAZ E-LIQUID - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
• Collaboration between RAZ E-Liquids and Pod Juice
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/strawberry-glazed-donut-pod-juice-raz
BLUE RAZZ BUBBLEGUM - BLVK BUBBA SALTS - 30ML,FIND BRAND,BLUE RAZZ BUBBLEGUM - BLVK BUBBA SALTS - 30ML,$10.99,"Check out Bluerazz Bubblegum by BLVK Bubba Salts, deploying a tantalizing blue raspberry flavor set into a bubblegum chew with slight menthol.
BLUERAZZ BUBBLEGUM - BLVK BUBBA SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/bluerazz-bubblegum-blvk-salts
MILKY LOOPS - THE ONE - BEARD VAPE - 100ML,FIND BRAND,MILKY LOOPS - THE ONE - BEARD VAPE - 100ML,$13.99,"Savor the nostalgic delight of Milky Loops by The One, a creamy fusion of fruity cereal loops and rich milk, delivering a smooth and satisfying vaping experience of reminiscent mornings. From the creators at Beard Vape Co.
MILKY LOOPS - THE ONE - BEARD VAPE - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MANUFACTURED BY: Beard Vape Co.
INCLUDES:
• 1 Milky Loops - The One - Beard Vape - 100mL
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,,https://www.elementvape.com/milky-loops-the-one
COFFEE COOKIE CRUNCH - LOADED - RUTHLESS - 100ML,RUTHLESS,COFFEE COOKIE CRUNCH - LOADED - RUTHLESS - 100ML,$13.99,,,,,,,https://www.elementvape.com/coffee-cookie-crunch-loaded
MOTHER'S MILK AND COOKIES - SUICIDE BUNNY SALTS - 30ML,SUICIDE BUNNY,MOTHER'S MILK AND COOKIES - SUICIDE BUNNY SALTS - 30ML,$10.99,"Shop Mother's Milk and Cookies by Suicide Bunny Salts, a nicotine salt blend of sweet creamy milk coupled with delicious cookie flavors for a tantalizing eJuice.
MOTHER'S MILK AND COOKIES - SUICIDE BUNNY SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 Moither's Milk and Cookies - Suicide Bunny Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
• 40mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/mothers-milk-and-cookies-suicide-bunny-salts
GLAZED DONUT BLUEBERRY - POD JUICE - 100ML,POD JUICE,GLAZED DONUT BLUEBERRY - POD JUICE - 100ML,$13.99,"Check out Glazed Donut Blueberry by Pod Juice, capturing a blend of freshly baked donuts sprinkled with sweet decadent blueberries bursting with flavor.
GLAZED DONUT BLUEBERRY - POD JUICE - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
• 12mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/glazed-donut-blueberry-pod-juice
